No,URL,FCP,LCP,TBT,CLS,SI,Skor
1,https://dash.infiniteuny.id/achievements/new,1,0.99,0.98,1,0.78,0.97
2,https://dash.infiniteuny.id/achievements/019eeab3-d833-7200-ac69-302709f43c1f/edit,1,1,0.65,1,0.61,0.86
3,https://dash.infiniteuny.id/achievements/019eeab3-d833-7200-ac69-302709f43c1f,1,1,0.65,1,0.83,0.88
4,https://dash.infiniteuny.id/achievements,1,0.99,0.65,1,0.72,0.86
5,https://dash.infiniteuny.id/community-group-admins/new,1,1,1,1,0.94,0.99
6,https://dash.infiniteuny.id/community-group-admins/019ecebc-9604-73f2-8e00-e941bb157e45/edit,0.98,0.96,0.71,1,0.77,0.88
7,https://dash.infiniteuny.id/community-group-admins/019ecebc-9604-73f2-8e00-e941bb157e45/members/019eeab4-e58f-7302-87bd-cae414a23499,1,0.92,0.67,0.99,0.78,0.86
8,https://dash.infiniteuny.id/community-group-admins/019ecebc-9604-73f2-8e00-e941bb157e45/members,1,0.99,0.82,1,0.75,0.92
9,https://dash.infiniteuny.id/community-group-admins/019ecebc-9604-73f2-8e00-e941bb157e45/members/new,1,1,0.99,1,0.59,0.96
10,https://dash.infiniteuny.id/community-group-admins/019ecebc-9604-73f2-8e00-e941bb157e45/members/019eeab4-e58f-7302-87bd-cae414a23499/edit,1,0.53,0.91,1,0.7,0.83
11,https://dash.infiniteuny.id/community-group-admins/019ecebc-9604-73f2-8e00-e941bb157e45,1,0.97,0.73,1,0.86,0.9
12,https://dash.infiniteuny.id/community-group-admins,0.99,0.94,0.68,1,0.74,0.86
13,https://dash.infiniteuny.id/community-groups/new,1,0.94,1,1,0.91,0.98
14,https://dash.infiniteuny.id/community-groups/0198857b-dc78-71ff-ba23-972032992383/edit,0.99,0.85,0.67,0.99,0.63,0.82
15,https://dash.infiniteuny.id/community-groups/0198857b-dc78-71ff-ba23-972032992383/members/new,1,1,0.49,1,0.71,0.82
16,https://dash.infiniteuny.id/community-groups/0198857b-dc78-71ff-ba23-972032992383/members,1,0.98,0.66,1,0.73,0.87
17,https://dash.infiniteuny.id/community-groups/0198857b-dc78-71ff-ba23-972032992383,0.99,0.77,0.8,1,0.84,0.87
18,https://dash.infiniteuny.id/community-groups,1,1,0.42,1,0.8,0.81
19,https://dash.infiniteuny.id/competition-organizer-types/new,1,0.96,1,1,0.91,0.98
20,https://dash.infiniteuny.id/competition-organizer-types/0198857c-4e0d-734b-a034-c94ce22731a2/edit,1,0.98,1,1,0.87,0.98
